Ano,Feminino,Masculino
2010,11,54
2011,17,59
2012,14,53
2013,12,60
2014,5,69
2015,6,64
2016,10,60
2017,9,65
2018,12,59
2019,10,71
2020,16,57
2021,13,52
2022,14,64
2023,13,65
2024,14,56
