Ano,Feminino,Masculino
2010,5,21
2011,6,23
2012,8,33
2013,8,37
2014,6,62
2015,7,48
2016,2,27
2017,7,42
2018,6,47
2019,7,65
2020,2,13
2021,2,16
2022,2,18
2023,6,24
2024,2,26
