Ano,Feminino,Masculino
2011,1,0
2012,0,5
2013,2,3
2014,1,8
2015,0,1
2016,1,12
2017,4,14
2018,1,10
2019,6,13
2020,0,6
2021,0,7
2022,6,11
2023,7,34
2024,1,11
