Ano Ingresso,Feminino,Masculino
2011,16,84
2012,27,97
2013,22,104
2014,12,111
2015,14,107
2016,22,113
2017,16,120
2018,14,118
2019,14,125
2020,18,127
2021,20,109
2022,24,112
2023,19,103
2024,27,100
