Forma de Ingresso,Feminino,Masculino
CURSO A DISTANCIA,1,0
CURSO A DISTANCIA : ENEM,307,943
CURSO A DISTANCIA : REINGRESSO,1,0
CURSO A DISTANCIA : VESTIBULAR,504,2366
CURSO DISTANCIA : TRANSF EX-OFICIO,0,1
