Ano,Feminino,Masculino,Total
2011,2,6,8
2012,3,12,15
2013,0,9,9
2014,2,16,18
2015,1,10,11
2016,2,17,19
2017,0,3,3
2018,2,7,9
2019,3,13,16
2020,3,13,16
2021,1,5,6
2022,2,19,21
2023,0,12,12
2024,1,14,15
