Ano,Feminino,Masculino
2010,5,16
2011,5,29
2012,13,56
2013,8,60
2014,9,50
2015,5,40
2016,11,68
2017,10,54
2018,10,66
2019,10,57
2020,17,80
2021,29,86
2022,15,93
2023,14,43
2024,9,20
