Ano,Feminino,Masculino,Total
2007,1,3,4
2008,3,9,12
2009,0,10,10
2010,9,20,29
2011,4,20,24
2012,4,26,30
2013,3,34,37
2014,3,15,18
2015,1,19,20
2016,1,14,15
2017,4,21,25
2018,4,22,26
2019,7,30,37
2020,1,34,35
2021,3,21,24
2022,2,42,44
2023,7,17,24
2024,9,15,24
