Ano,Feminino,Masculino,Total
2011,0,2,2
2012,0,2,2
2013,0,4,4
2014,0,2,2
2015,0,2,2
2016,2,3,5
2017,0,4,4
2018,0,3,3
2019,0,5,5
2020,1,1,2
2021,1,1,2
2022,0,8,8
2023,0,1,1
2024,0,3,3
