Ano,Feminino,Masculino,Total
2011,0,1,1
2012,1,3,4
2013,0,1,1
2014,0,3,3
2015,0,2,2
2016,0,1,1
2017,0,1,1
2018,1,0,1
2019,0,1,1
2020,0,1,1
2021,0,0,0
2022,1,8,9
2023,0,4,4
2024,1,4,5
