Ano,Feminino,Masculino,Total
2012,1,9,10
2013,2,12,14
2014,2,5,7
2015,4,15,19
2016,2,14,16
2017,3,24,27
2018,2,19,21
2019,3,10,13
2020,0,8,8
2021,1,10,11
2022,0,10,10
2023,3,15,18
2024,2,10,12
