Ano,Feminino,Masculino
2010,46,389
2011,43,316
2012,71,404
2013,135,668
2014,0,2
2015,0,7
2016,0,3
2017,1,1
2018,0,2
2019,0,1
2020,1,2
2021,0,3
2022,0,1
2023,1,2
2024,249,1501
