Ano,Feminino,Masculino
2010,10,48
2011,3,44
2012,7,32
2013,6,26
2014,2,46
2015,6,40
2016,10,37
2017,7,37
2018,2,41
2019,6,18
2020,5,31
2021,3,15
2022,2,39
2023,4,30
2024,2,25
