Ano,Feminino,Masculino
2010,13,100
2011,11,103
2012,17,129
2013,17,137
2014,11,149
2015,14,148
2016,10,136
2017,20,140
2018,18,135
2019,16,143
2020,19,137
2021,24,134
2022,19,130
2023,17,138
2024,36,114
