Ano,Feminino,Masculino,Total
2004,0,2,2
2005,1,2,3
2006,0,1,1
2007,0,4,4
2008,1,1,2
2009,0,7,7
2010,1,5,6
2011,3,14,17
2012,2,30,32
2013,3,33,36
2014,2,22,24
2015,3,19,22
2016,3,25,28
2017,3,21,24
2018,6,25,31
2019,5,41,46
2020,2,24,26
2021,2,23,25
2022,7,23,30
2023,4,34,38
2024,12,29,41
