Ano,Feminino,Masculino,Total
2009,0,1,1
2010,0,0,0
2011,0,2,2
2012,2,4,6
2013,0,3,3
2014,2,7,9
2015,1,7,8
2016,0,8,8
2017,2,10,12
2018,2,4,6
2019,4,10,14
2020,0,4,4
2021,1,8,9
2022,1,16,17
2023,3,5,8
2024,3,5,8
