Ano,Feminino,Masculino,Total
2014,1,0,1
2015,0,2,2
2016,1,3,4
2017,0,1,1
2018,2,2,4
2019,1,4,5
2020,0,2,2
2021,9,2,11
2022,1,14,15
2023,5,10,15
2024,3,7,10
